RASMC_RNA_0H_1	RASMC_RNA_0H_0	RASMC_RNA_PDGF_2H_2	RASMC_RNA_PDGF_2H_0	RASMC_RNA_PDGF_2H_1	RASMC_RNA_PDGF_JQ1_2H_0	RASMC_RNA_PDGF_JQ1_2H_1	RASMC_RNA_PDGF_JQ1_2H_2	RASMC_RNA_PDGF_24H_1	RASMC_RNA_PDGF_24H_2	RASMC_RNA_PDGF_24H_0	RASMC_RNA_PDGF_JQ1_24H_2	RASMC_RNA_PDGF_JQ1_24H_1	RASMC_RNA_PDGF_JQ1_24H_0
Aars2	4.23379	3.90315	3.49563	2.75264	4.12973	2.83431	5.19193	3.89556	4.71372	4.52496	4.83723	6.74719	8.16753	8.53653
Aarsd1	7.68622	13.1208	6.78434	8.71954	8.2009	6.98211	6.91616	7.93598	9.75518	9.57187	10.0243	15.3548	17.7344	18.0483
Aasdhppt	42.95	38.4258	24.1348	30.8645	18.3395	47.7415	50.5269	37.9969	50.3958	47.9156	37.9991	63.8655	76.362	56.0314
Aass	3.93283	3.61067	2.67584	2.84047	1.95223	1.07188	0.277917	0.818457	4.90369	3.68848	3.60239	0.33077	0.58648	0.0812775
Aatf	17.2125	15.1069	16.0238	14.1174	9.73565	21.1589	24.8823	22.7594	20.7683	15.593	21.0136	22.7547	29.2068	26.3462
Aatk	0.0480229	0	0.232368	0	0	0	0	0.145239	0	0.0302905	0	0	0	0
Abat	0	0	0.277715	0	0	0.290477	0	0.416598	0.187608	0	0	0	0	0.21145
Abca1	8.71035	7.15438	2.07752	1.70619	1.90555	2.49491	2.83271	2.98181	8.18678	8.62433	7.54482	8.8237	6.16494	7.10347
Abca13	0.0123082	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	0	0	0	0.0445429	0	0	0	0	0.0139471	0.0602851	0	0	0.0252064	0.0157195
Abca2	6.70593	6.77135	5.65111	3.59393	5.72234	5.16488	6.39539	4.60599	9.88147	9.75116	9.19136	9.66756	7.39576	7.65108
Abca4	0	0	0.0728881	0.0327613	0	0	0	0	0	0.0221699	0	0	0	0
Abca5	1.93309	1.24422	1.66816	1.17825	0.302653	3.47184	3.88461	2.7237	1.40864	1.16493	1.31245	3.54611	2.54581	3.70993
Abca7	3.18874	3.41354	1.76871	2.90292	4.44149	2.07423	2.58365	2.21102	8.64445	9.23119	11.297	15.3027	14.1098	16.8845
Abca8a	4.29135	3.32214	2.31407	2.13608	3.43198	1.85186	1.64893	1.45609	3.06879	3.16027	2.1346	0.232022	0.165912	0.280842
Abcb10	7.92084	7.36026	6.35073	3.94695	1.46041	7.51731	8.26058	7.67754	4.76686	4.81722	3.59206	5.87831	6.68068	6.56658
Abcb11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1a	0.311495	0.52076	0.735671	0.758111	0.66085	1.1636	0.700718	1.16638	1.06062	0.44207	0.0751885	0.938223	0.780428	0.80263
Abcb1b	20.9715	19.1574	50.4849	40.3523	47.3369	47.9346	50.6097	53.3324	24.734	20.4486	18.6848	13.1548	12.4793	13.0763
Abcb4	0	0	0.0912294	0.246032	0.0289654	0.548674	0	0.285109	0.0385182	0.104057	0	0	0	0
Abcb6	9.35836	10.7057	7.07735	5.98793	5.00252	5.56031	5.27601	4.32353	6.97685	7.27622	8.88358	5.44877	5.44931	5.8519
Abcb7	6.84579	5.21484	2.46546	3.1815	6.16129	1.37256	2.57203	2.23695	5.33906	4.06399	7.26515	5.54475	5.37079	7.60712
Abcb8	13.3827	14.4593	10.8396	8.45286	9.50929	6.10143	4.72822	8.70705	14.6305	13.6647	10.7626	17.09	14.2837	17.6499
Abcb9	0	0.0592046	0.0275392	0.123782	0	0	0	0.0344261	0.418586	0.477455	0.276958	0.342853	0.378253	0.157261
Abcc1	8.8995	8.7343	6.3907	6.07911	5.59816	7.23986	8.53358	5.99718	8.08722	9.41754	9.68804	10.9021	8.75335	10.4123
Abcc10	2.60074	2.34233	0.762678	0.489721	0.11531	1.4435	1.81718	1.54361	2.6681	1.98839	3.42417	2.81838	2.35559	2.24674
Abcc12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc3	8.06127	8.01689	3.14028	2.25529	2.01576	3.12393	3.145	2.47483	4.97199	4.65639	3.34694	3.99453	2.99527	4.40187
Abcc4	2.76429	2.07512	2.36387	1.66458	3.20227	1.77196	2.04341	2.78264	4.99028	5.44644	7.34656	10.6109	9.56	8.60543
Abcc5	9.04277	11.584	6.24312	6.44928	8.64605	4.82167	7.06009	5.15203	8.52002	8.39891	9.50492	10.3253	8.51439	10.4163
Abcc6	0	0	0.0151739	0	0	0	0.0185179	0	0.0896928	0.0553842	0	0	0	0
Abcc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	1.35203	1.70995	1.41844	1.09636	0.589252	0.693283	1.26187	0.795437	4.75749	4.77808	3.89957	0.077018	0.121386	0.0883169
Abcd1	6.17649	4.53264	3.21527	3.0562	3.81564	2.03986	2.09057	2.40501	7.54428	6.78163	8.45936	3.76228	2.71487	3.18551
Abcd2	0	0	0	0	0	0	0	0	0.0403135	0.029042	0	0	0	0
Abcd3	18.873	19.1664	8.6154	10.3182	10.3876	29.9996	31.1095	26.209	21.664	19.9522	15.6288	31.1367	36.9063	33.4212
Abcd4	18.1895	19.0184	9.6507	9.27501	8.37024	11.2021	13.0701	15.0066	22.2946	17.0396	16.7678	10.1263	10.5372	10.1557
Abce1	60.5899	65.8856	78.7654	69.2144	91.3683	51.1194	58.4366	52.6002	48.0421	53.9341	55.973	58.9765	52.2545	53.0572
Abcf1	47.5009	48.003	57.6508	61.3747	51.6606	66.2994	66.4986	70.7509	40.527	42.4318	35.7339	72.9391	78.0002	72.7495
Abcf2	39.9686	42.2172	47.1228	45.8884	51.6915	57.0863	51.1951	54.314	38.165	38.2467	46.9364	66.6749	66.2532	70.6849
Abcf3	21.7555	19.1236	24.5717	24.8088	22.2239	25.6627	28.029	22.9234	27.891	29.6734	32.7224	40.697	42.3953	43.1284
Abcg1	0.845801	0.874369	0.91511	1.074	0.936211	0.451993	0.558389	0.476649	3.02657	2.59787	2.08775	0.590738	0.620696	0.774174
Abcg2	0.279087	0.138246	0.214352	0.154153	0	1.12101	0.418544	0.214365	0.0724017	0.117356	0	0.106744	0.261701	0
Abcg3	2.55893	1.94565	1.46798	2.40536	2.53869	1.03006	1.9085	1.39969	2.41218	1.98808	1.37803	2.69621	2.89605	1.73998
Abcg3l1	5.47209	3.58343	8.75349	7.88173	22.4472	11.2263	7.93926	10.6045	7.11948	5.38429	5.69539	6.78101	7.7015	6.19448
Abcg3l2	2.59029	3.76576	0.957073	2.61038	3.09863	2.0828	1.85763	1.16844	2.55039	2.37462	1.69064	3.42017	2.32356	4.09118
Abcg3l3	14.1914	7.99857	5.58462	6.98638	9.85975	7.93437	3.8848	6.13706	14.6592	15.1054	11.3021	11.8503	9.96335	11.0447
Abcg3l4	0.01	0.01	2.83923	0.1839	0.0295208	0.647439	0.01	1.6536	0.01	2.10944	0.01	0.01	1.52215	1.6425
Abcg4	0.342896	0.407649	0.616263	0.788369	0	0.0495832	0	0.592596	0.500373	0.346051	0.218508	0.196725	0.19895	0.248144
Abcg5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcg8	0	0	0	0	0	0	0	0	0	0	0	0	0.0139462	0
Abhd1	7.37313	5.86975	5.09662	5.89064	4.99325	10.2809	10.8402	9.37471	14.2023	14.2176	11.0445	9.12488	9.00031	6.79091
Abhd10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd11	9.13222	10.3948	5.28287	8.45166	5.79953	8.52258	9.39744	7.7233	9.52685	6.12783	14.3329	8.54636	11.6835	13.2089
Abhd12	25.7418	23.4206	20.481	24.1133	13.8356	41.477	42.8984	42.2477	33.5264	30.7944	28.8106	47.2189	52.5375	47.5564
Abhd12b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd13	5.12853	4.18633	5.10954	5.58069	6.36231	6.5281	9.14006	7.19873	4.46922	4.41941	4.50534	6.42336	5.93087	5.63912
Abhd14a	3.98553	2.3241	2.65035	2.88411	4.42888	3.79345	4.34093	4.79532	3.59261	2.35477	2.6888	3.41536	3.14	4.44745
Abhd14b	27.0972	29.0087	15.5884	18.0565	20.5016	30.8694	22.7833	27.42	35.4314	35.3076	39.6057	22.2452	22.4263	29.5548
Abhd15	0.0633723	0	0.0584075	0.0262527	0	0.580369	0.498953	0.438083	0.0246604	0.106592	0	0.0969537	0.0668525	0.0277943
Abhd16a	33.7099	28.633	40.7597	41.5001	50.157	32.2929	28.7637	35.7948	33.0204	32.9714	37.9959	33.5063	33.0715	29.8939
Abhd16b	0	0.268058	0	0	0	0	0	0	0.0421158	0.091021	0	0.165581	0	0
Abhd17a	40.3049	31.3354	48.382	49.4183	62.1358	55.3673	63.7711	63.5392	54.1673	54.565	60.0242	281.092	305.613	276.606
Abhd17b	12.0103	12.4414	13.7559	12.6927	5.84899	30.931	28.324	28.8618	13.3556	12.9392	13.1028	21.0235	22.334	17.4752
Abhd17c	13.4929	13.9346	13.3485	12.9227	12.6602	17.9894	15.1937	15.6705	9.39318	9.33048	10.3982	11.9667	13.1565	12.46
Abhd2	12.4653	15.3285	47.0076	33.4886	48.5504	53.2489	81.6288	65.9052	18.592	19.1158	16.35	33.2709	27.7174	27.2324
Abhd3	1.82483	0	0.346266	1.28957	0	2.79395	2.35434	3.15369	3.04927	3.24992	1.20224	3.85928	2.64222	3.20139
Abhd4	62.0711	64.3907	47.5837	45.5094	66.9342	58.7499	64.2716	54.9113	102.143	100.364	107.601	80.9358	74.6159	82.2205
Abhd5	15.9436	7.73036	24.8437	23.1728	21.2321	47.1839	47.8715	47.2853	19.3224	21.2208	14.5589	46.2005	46.324	48.8894
Abhd6	11.3492	14.0471	4.56748	5.17044	4.24312	7.4757	6.45143	10.0977	35.8548	36.661	40.0864	21.7626	23.7191	25.076
Abhd8	17.3241	17.9804	11.6901	13.7554	13.7601	9.94085	11.8305	14.6135	19.8631	21.2907	23.7759	24.7689	27.4858	21.9804
Abi1	42.7554	44.5634	38.4101	39.0042	35.7906	48.4437	51.0357	46.356	37.1735	38.1325	27.5124	46.1289	44.2285	39.6291
Abi2	17.3176	16.6631	17.9811	19.8336	23.7266	17.943	16.3202	15.9974	20.555	21.5263	18.2386	17.8338	15.6507	17.6615
Abi3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abl1	1.79724	1.15989	0.127783	0.561587	0.144253	0.356412	0.346539	0.408219	1.36677	1.72309	1.85625	0.907373	0.704208	0.56754
Abl2	2.66192	2.65419	8.95087	5.54923	7.05577	5.71168	5.56312	4.06612	2.84691	3.09804	3.00457	2.97555	1.9385	2.25965
Ablim2	0	0	0	0	0	0.149616	0	0	0.0905904	0.0652595	0.329682	0.0296761	0.0818614	0.204213
Ablim3	0.116262	0	0.0642919	0	0	0	0.156921	0.361664	0	0.0293328	0	0	0	0
Abo	0.0459748	0	0	0	0	0.332401	0	0	0.107342	0.0579973	0	0	0	0
Abo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abr	8.5811	8.67681	6.67534	6.11494	5.04516	9.77113	9.85097	10.6576	17.9214	18.7535	18.1971	13.1584	15.198	13.0171
Abra	0.169999	2.02103	1.01843	1.7606	1.89036	0	0.669233	0.489658	0.0661527	0.357424	0	0	0	0
Abracl	121.599	147.882	101.185	144.579	83.6411	81.3255	97.9202	68.7921	117.522	110.634	111.431	59.3761	67.5926	56.7672
Abt1	13.3628	14.8517	20.492	19.1889	28.4894	18.3485	13.546	20.0857	10.815	12.82	13.0105	22.8705	20.9081	20.3157
Abtb1	9.91319	8.79575	2.61044	2.30153	7.65063	4.72569	3.92089	2.94948	10.9792	9.11574	13.6734	10.3331	9.883	7.69227
Abtb2	5.28951	4.01477	12.7579	16.7877	15.7781	21.6919	25.0693	25.9006	4.63125	4.16149	5.43661	14.8144	11.715	14.724
Ac1576	0.748669	0	1.12128	1.00797	0	0.721724	2.42097	0.431286	0.6555	0.078704	0.93971	1.00222	0.855599	1.14925
Acaa1a	25.0964	33.7917	22.9385	21.0227	15.9861	22.5892	16.609	25.3202	25.6287	27.1697	38.609	31.2358	35.982	36.3047
Acaa1b	1.46022	0.949357	0.693937	0.623814	0.961421	0.131968	0.230963	0.236584	1.38504	1.09373	0.79305	0.418874	1.39599	1.26085
Acaa2	27.2199	27.2669	24.9478	28.8267	19.223	26.0942	23.2175	34.4773	41.4257	36.9037	45.1252	32.9211	30.8147	30.5195
Acaca	17.5014	14.944	14.2979	10.6746	7.51603	11.7931	20.3906	14.4135	17.4048	18.7727	15.8201	18.6949	14.1608	15.9385
Acacb	0	0.0127058	0.0236405	0.0212516	0	0	0	0	0.0199626	0.075501	0	0	0.0541173	0.0674987
Acad10	5.81798	4.64666	2.7992	3.12153	4.18499	2.63134	2.16207	3.18915	5.23607	3.75053	4.30582	4.49949	3.73116	3.91185
Acad11	20.1777	21.278	17.0081	14.3763	18.8549	15.0654	14.6216	14.6193	29.406	23.6955	23.7495	9.36046	9.00326	10.4362
Acad9	16.9807	15.173	10.0394	13.8427	7.28574	6.82941	7.00103	8.02067	12.2701	11.8815	9.26775	10.5878	14.1981	10.2733
Acadl	62.9121	59.2157	57.2597	65.1348	50.9212	103.745	74.1836	89.0497	80.7195	76.0828	91.3701	86.3769	102.243	96.7889
Acadm	32.8812	33.2332	28.5017	30.1379	30.737	46.2329	42.6825	44.2648	42.1793	39.7606	38.7446	49.3963	57.3569	53.3787
Acads	15.1585	14.1745	12.5848	12.1984	11.3269	14.2505	22.9704	14.5691	23.0557	19.422	25.8629	13.2607	19.3311	16.7684
Acadsb	23.6809	16.8234	15.2729	12.3702	16.516	20.5615	12.8256	14.9336	17.4299	17.5239	18.0591	6.14982	7.03863	4.46149
Acadvl	21.9937	20.0027	18.1634	22.1708	23.4068	33.7123	30.8045	36.0619	38.3441	33.9197	30.7803	71.09	72.0843	70.2489
Acan	1.66077	1.30817	9.29687	7.65814	8.93894	2.54585	2.32732	2.41532	5.58329	6.52561	6.35092	0.541486	0.593565	0.322403
Acap1	0	0.160487	0	0.134215	0	0.195204	0	0.0933194	0.126074	0.0681182	0	0.185876	0.0854447	0.284193
Acap2	23.3317	24.0929	20.7609	16.952	15.6163	34.8381	38.2027	32.9965	27.7874	29.0674	30.2228	39.3259	28.0145	33.6545
Acap3	9.02118	7.85052	15.0458	12.1442	11.024	22.0613	19.7739	20.9786	7.00967	7.28335	10.8535	11.0302	11.5874	12.1546
Acat1	43.0095	38.101	34.7632	38.9958	46.9662	44.8819	48.4624	49.6418	35.9102	31.8767	30.0277	32.1804	32.5802	36.1301
Acat2	38.4402	37.8973	28.6661	33.1744	38.6777	23.8292	31.5942	28.6561	37.6809	37.2391	38.2259	22.3467	21.1197	24.8635
Acbd3	32.7643	35.8318	39.9594	42.7749	36.6592	35.7188	40.4882	34.5065	27.527	30.1056	29.6112	23.7831	24.4132	23.0437
Acbd4	9.651	13.9403	7.89868	6.86063	5.28679	4.85651	7.22951	6.80502	13.7903	10.6164	9.84004	11.7826	11.81	13.0032
Acbd5	5.83216	6.16163	2.58264	3.96381	9.27989	3.29429	8.30227	5.19709	11.3829	5.23057	6.54611	3.45056	9.94966	2.63785
Acbd6	15.2264	14.0617	15.6051	21.7885	11.0478	14.2385	10.535	13.7798	21.3641	21.9955	30.7199	17.3059	16.1133	15.0416
Acbd7	0	0	0	0.230114	0	3.21292	3.74871	0.639991	0.432313	0.23358	0	0.212458	1.95328	0.974506
Accs	7.02952	7.72809	3.52037	3.25378	0.0629701	1.76328	1.81528	1.7355	6.23845	5.83643	2.78411	3.16874	2.49708	2.83138
Accsl	0	0	0.387405	0	0	0	0	0	0.145393	0.117834	0	0	0	0
Acd	36.6659	47.2122	27.0731	29.1919	31.9139	36.9027	47.4501	37.2637	41.3447	37.7129	43.8698	61.8523	58.7884	81.4111
Ace	0.0189863	0.338576	0.367476	0.471918	0.733379	0	0.288295	0	0.820094	0.550879	1.01191	0.0435709	0.160232	0.0249815
Ace2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acer1	0	0	0	0.102655	0	0	0.232267	0	0	0	0	0.252743	0.493777	0.144911
Acer2	0.283934	0.348561	0.068267	0.199448	0.476846	0.339169	0.66649	0.72538	0.389113	0.124586	0.128728	0.325795	0.494871	0.389834
Ache	2.67163	0.784233	1.45915	1.39369	2.02686	1.28774	2.17024	1.71005	3.15737	2.87096	3.70684	0.52984	0.208766	0.520774
Acin1	48.4767	53.7927	38.3317	39.0516	44.3067	37.0306	33.4203	37.4393	44.3266	41.9273	44.5384	45.363	47.3276	48.1749
Ackr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ackr3	99.32	89.0911	21.5854	25.843	28.5274	17.0222	18.0769	16.0804	18.5564	10.7597	12.0465	1.86029	1.78466	1.15935
Acly	101.409	100.398	93.5384	77.2076	94.7218	236.125	270.422	268.33	103.564	112.365	107.405	248.11	236.194	242.297
Acmsd	0.428109	0	0	0	0	0	0	0	0	0	0	0	0	0
Acnat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aco1	73.8622	74.7986	50.9645	47.8033	50.0407	66.7226	66.4386	68.5823	39.4104	40.8807	45.1841	42.5398	42.7677	42.5639
Aco2	91.542	87.0466	103.118	97.6671	91.1914	98.6061	90.6635	100.817	105.536	98.3563	104.928	90.8387	95.6835	99.5883
Acot1	0	0.396802	0	0.276537	0	0	0	0	0	0.0561404	0	0	0.0469468	0
Acot11	0	0.688059	0	0	0	0	0	0.171467	0.0772173	0.0417207	0	0	0	0
Acot12	0	0	0	0.202246	0	0	1.716	0	0	0	0	0	0	0
Acot13	3.84863	9.25177	6.5726	7.03385	0.198743	8.0204	12.6045	6.84687	7.26794	10.5669	4.72141	9.35161	10.6276	8.19159
Acot2	3.44917	3.23504	2.07153	4.35684	0	1.06292	1.14477	1.12377	1.98028	2.03291	1.2775	1.03808	0.745611	0.371991
Acot3	3.79987	3.97369	1.9943	2.31749	1.97679	0	0.890411	1.33772	4.39492	4.03901	3.1389	1.09002	1.44753	0.60182
Acot4	0	0	0	0	0	0	0	0	0.121257	0	0	0	0	0
Acot5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot7	26.4614	29.3997	63.382	64.3471	53.6344	75.9506	72.8938	77.5099	74.3922	80.7281	86.9613	102.752	100.198	105.434
Acot8	7.66719	11.0378	4.96864	6.84872	6.47847	6.23636	8.5699	6.37681	6.48927	7.43549	7.93952	6.8731	9.14983	7.06175
Acot9	42.028	44.7302	74.1768	64.9151	50.051	45.7667	53.2533	50.6796	60.0226	64.5891	52.3368	55.8828	58.8725	58.2452
Acox1	27.128	22.1568	19.7764	18.2666	28.5144	25.1895	25.4102	25.9764	25.279	28.6137	23.5821	28.0043	23.4494	24.751
Acox2	0	0	0	0.0660577	0	0	0	0.0918596	0	0.0335263	0	0.0609894	0.056072	0
Acox3	7.9698	6.87077	5.15592	5.42856	4.4401	6.05772	4.61137	5.60652	7.27619	6.54149	5.65286	6.0379	6.97928	6.6212
Acoxl	0	0	0	0	0	0	0	0	0.049389	0.0800549	0	0.0242719	0	0.0556655
Acp1	18.6586	14.9916	14.408	14.1004	67.7371	29.1766	24.1018	26.9827	12.716	12.225	42.5125	17.5367	19.4486	12.8293
Acp2	26.3356	22.9776	16.7792	16.6127	18.9743	5.81803	7.23704	5.17198	29.4633	29.531	38.7577	5.41792	7.96273	5.77523
Acp5	4.29804	4.71429	3.53688	3.56101	3.95283	2.96769	3.10775	5.65935	13.4855	13.6709	14.9261	5.28396	6.25192	5.41522
Acp6	21.392	15.731	20.5799	15.691	13.6491	13.7923	13.2087	14.1972	22.3985	20.0309	19.1638	9.55262	8.72427	8.0523
Acpp	0	0	0.0804248	0	0	0	0	0	1.34534	0.947644	0.943649	0.116853	0	0
Acpt	0	0	0.611878	1.02152	5.99467	1.73713	0.960069	0.874164	0.147624	0	0	0	0.0666998	0
Acr	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acrbp	1.73537	0.515769	0.479823	1.3659	0	2.09114	0.48797	0.599816	1.35058	1.82431	0	1.19473	0.915334	1.67444
Acrv1	0	0	0	0	0	0	0	0.507912	0.343094	0	0	0	0	0
Acsbg1	0	0	0	0.0613894	0	0	0	0	0	0.031157	0	0	0.0260547	0
Acsbg2	0	0	0	0	0	0	0	0.0438527	0	0	0	0	0	0
Acsf2	11.4624	11.8606	7.57117	7.43923	6.82024	9.66866	7.19835	7.7037	11.944	10.8717	12.4936	5.94291	5.10548	4.16147
Acsl1	8.43583	7.80549	15.1342	12.44	11.8925	19.0775	21.7814	23.045	8.83638	7.96463	7.39705	10.7753	10.6528	9.26126
Acsl3	35.9866	30.9181	57.9878	57.6371	57.4094	112.069	111.659	109.31	31.1048	34.2734	30.1805	62.5671	62.5256	56.0045
Acsl4	20.3725	21.4575	91.1902	95.2383	100.762	74.6721	64.7564	63.2926	35.2606	43.6998	30.0677	127.875	115.529	107.239
Acsl5	91.469	84.7063	82.6164	89.237	86.1252	46.6819	36.7257	45.9742	73.2707	72.1134	71.8967	33.376	33.768	34.0679
Acsl6	0.0259122	0	0	0	0	0	0	0.0895634	0.0605	0.0326883	0	0	0	0.0681886
Acsm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsm2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsm3	0.906542	1.88604	0.966817	0.708171	1.00048	0.636709	0	0.98478	0.423321	0.522791	0.390126	0.297198	0.464502	0.545278
Acsm4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsm5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acss1	0.342556	0.294717	0.548354	0.179252	0	0	0.121672	0	0.399901	0.181952	0.125335	0	0.0760775	0
Acss2	18.1349	14.2934	16.3756	14.2644	17.2503	26.8872	30.7512	30.7855	14.8999	12.568	15.5858	17.279	18.6707	19.2098
Acss3	1.01101	0.649692	0.566636	0.237709	0	0	0.968112	0.18889	0.350887	0.10341	0.126635	0.219471	0.144126	0.251668
Acta1	25.3988	26.5606	24.9148	30.7038	21.9929	63.5743	60.5603	64.6867	2.36974	2.43584	3.21238	2.38601	1.35796	2.01946
Acta2	5339.74	5721.13	5628.15	5949.08	5730.95	7891.42	7748.02	7697.94	787.303	624.786	714.859	91.8609	81.2841	102.61
Actb	4208.31	4527.32	4915.75	4746.59	4805.25	7484.72	7739.5	8300.83	2885.21	2739.01	2944.36	2964.98	3074.08	3150.95
Actbl2	1.63396	1.53545	1.09624	1.28409	1.60318	2.36273	4.37834	3.07299	0.897643	0.788123	1.28065	0.882284	1.06463	0.980103
Actc1	0.142642	0.141316	0	0.118182	0.0834818	0.0687542	0.0802196	0	0.166521	0.119962	0	0.0545573	0.0501586	0
Actg1	1838.9	1942.15	2805.19	2500.82	2776.42	4054.24	4037.61	4151.93	1602.15	1615.38	1673.71	2077.62	2061.03	2121.79
Actg2	8.28028	7.66829	12.4428	9.24662	8.42793	7.46168	6.8838	7.8809	0.770513	0.378463	0.139039	0.34424	0.253189	0
Actl11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actl6a	24.1628	29.8929	25.649	27.8379	27.4385	23.2352	27.4479	26.2462	31.1548	29.3693	25.9528	31.0816	29.2519	32.3725
Actl6b	0	0	0	0	0	0	0	0	0	0.05676	0	0	0	0
Actl7a	0.240164	0	0.597642	0.53725	0	0	0	0.415054	0.224295	0.181781	1.44695	0.440915	0.152012	0.1264
Actl7b	0.0515554	0.0766141	0.498922	0.832939	0	0.969147	0	0.801887	0	0.260149	0.418133	0.236625	0.0543867	0
Actl9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actl9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn1	387.062	377.613	706.82	608.258	672.454	789.472	899.2	862.819	301.23	327.567	301.163	264.309	270.98	273.589
Actn2	0.424215	0.564047	0.216068	0.360721	0.039201	0.677991	0.188346	0.385859	0.0781942	0.112663	0	0	0	0
Actn3	0.0688409	0	0.158619	0.0285181	0	0.464543	0	0.198286	0.294672	0.115791	0.159521	0.394951	0.532557	0.573663
Actn4	470.774	462.143	557.042	500.608	539.357	589.931	605.989	630.429	295.365	299.355	293.393	305.987	305.823	313.83
Actr10	77.9615	76.0044	99.458	93.3649	92.5065	114.244	103.833	112.98	87.2954	89.8756	79.7791	112.062	104.339	105.394
Actr1a	71.9339	71.6314	70.4311	81.4841	86.3907	72.15	76.0533	83.3452	73.1449	72.4515	74.8883	93.1029	99.7114	103.906
