GENE_ID	locusLine	RASMC_H3K27AC_PDGF_24H_NEW	RASMC_H3K27AC_PDGF_24H_REP2	RASMC_H3K27AC_PDGF_2H_NEW	RASMC_H3K27AC_PDGF_2H_REP2	RASMC_H3K27AC_PDGF_JQ1_24H_NEW	RASMC_H3K27AC_PDGF_JQ1_24H_REP2	RASMC_H3K27AC_PDGF_JQ1_2H_NEW	RASMC_H3K27AC_PDGF_JQ1_2H_REP2	RASMC_H3K27AC_UNSTIM_NEW	RASMC_H3K27AC_UNSTIM_REP1	RASMC_WCE_PDGF_24H_NEW	RASMC_WCE_PDGF_24H_REP2	RASMC_WCE_PDGF_2H_NEW	RASMC_WCE_PDGF_2H_REP2	RASMC_WCE_PDGF_JQ1_24H_NEW	RASMC_WCE_PDGF_JQ1_24H_REP2	RASMC_WCE_PDGF_JQ1_2H_NEW	RASMC_WCE_PDGF_JQ1_2H_REP2	RASMC_WCE_UNSTIM_NEW	RASMC_WCE_UNSTIM_REP2
8_RASMC_H3K27AC_PDGF_24H_NEW_23344_lociStitched	chr5(.):128445642-128455660	1.0743	0.9682	1.197	1.5075	0.989	0.927	1.1247	1.5062	1.2801	1.4919	0.2015	0.2811	0.2116	0.2259	0.19	0.2767	0.22	0.2823	0.2145	0.3238
10_RASMC_H3K27AC_PDGF_24H_NEW_12265_lociStitched	chr17(.):33942716-33952767	1.1226	1.7839	1.0182	2.1406	1.5806	1.2798	0.782	2.2961	1.1589	1.262	0.131	0.5351	0.1523	0.1923	0.1386	0.2873	0.1507	0.4236	0.1327	0.4706
6_RASMC_H3K27AC_UNSTIM_REP1_839_lociStitched	chr1(.):165722607-165725904	0.6701	1.7849	0.7252	1.8404	0.8093	1.2063	0.7302	1.8076	0.7896	1.2455	0.1316	0.4923	0.1702	0.2672	0.1423	0.4893	0.1432	0.468	0.1196	0.5677
6_RASMC_H3K27AC_PDGF_24H_NEW_10047_lociStitched	chr15(.):28719058-28723454	1.3298	1.1808	1.5338	1.5423	1.4123	1.0987	1.4389	1.4797	1.5175	1.466	0.2027	0.2962	0.1877	0.209	0.1976	0.2978	0.2075	0.3386	0.2102	0.3815
34_RASMC_H3K27AC_PDGF_24H_REP2_4078_lociStitched	chr11(.):60366588-60427218	0.8713	0.7058	0.4946	0.3605	0.8918	0.713	0.4376	0.2688	1.4568	1.6218	0.1696	0.1379	0.1519	0.1616	0.1538	0.139	0.141	0.1095	0.1795	0.1098
8_RASMC_H3K27AC_PDGF_24H_REP2_16997_lociStitched	chr8(.):45756137-45765108	0.5817	0.5706	1.0291	0.6094	1.4212	1.6064	1.4477	0.3948	0.6606	1.2057	0.1524	0.1088	0.176	0.2136	0.1836	0.1367	0.2022	0.1575	0.1647	0.0823
6_RASMC_H3K27AC_PDGF_24H_NEW_7274_lociStitched	chr12(.):38091236-38094590	0.8129	0.9743	1.1411	1.5741	0.8487	0.9697	1.0649	1.4326	1.0801	1.0989	0.1995	0.4843	0.2742	0.3054	0.2281	0.4605	0.2482	0.3243	0.2144	0.4913
7_RASMC_H3K27AC_PDGF_24H_REP2_15846_lociStitched	chr7(.):37401978-37407599	0.5929	0.3588	1.2086	0.4931	1.2117	0.9651	1.397	0.2915	0.5772	0.5131	0.1706	0.1203	0.2072	0.1971	0.216	0.1789	0.2371	0.1247	0.1672	0.103
8_RASMC_H3K27AC_UNSTIM_NEW_22440_lociStitched	chr4(.):126612363-126618976	0.9159	0.7302	0.6776	0.4806	0.9455	0.3766	0.7943	0.4832	1.3307	0.8967	0.1515	0.4076	0.1832	0.1382	0.1639	0.2711	0.1622	0.3499	0.1817	0.4626
6_RASMC_H3K27AC_PDGF_24H_REP2_6188_lociStitched	chr14(.):104560934-104564690	0.5991	0.7234	0.3268	0.2692	0.3364	0.1887	0.2612	0.1407	0.8287	0.8222	0.1662	0.3295	0.1422	0.1469	0.1555	0.2184	0.1236	0.1313	0.1944	0.2267
6_RASMC_H3K27AC_PDGF_24H_REP2_4372_lociStitched	chr11(.):89845790-89854173	1.1565	0.3254	1.0398	0.1913	1.9027	0.904	1.369	0.1548	1.3019	0.7907	0.1913	0.0137	0.1829	0.1261	0.1867	0.0533	0.1994	0.0478	0.1916	0.0647
7_RASMC_H3K27AC_PDGF_2H_NEW_15462_lociStitched	chr2(.):143649291-143660786	0.4629	0.3293	1.0906	0.484	0.7351	0.5733	1.0086	0.2998	0.6321	0.5188	0.1524	0.0941	0.2115	0.1936	0.1714	0.1539	0.1904	0.1262	0.17	0.0951
6_RASMC_H3K27AC_PDGF_2H_REP2_19944_lociStitched	chr5(.):79754306-79760582	0.6979	0.3173	1.5286	0.5744	1.6187	0.9273	2.1391	0.3232	0.8918	0.3642	0.1684	0.0611	0.1995	0.2504	0.1773	0.1432	0.2265	0.1441	0.1851	0.0743
7_RASMC_H3K27AC_UNSTIM_NEW_1964_lociStitched	chr1(.):164097039-164107519	0.9162	0.9381	0.7586	0.7986	1.2119	0.8801	0.8161	0.955	1.1577	1.0624	0.1871	0.461	0.1924	0.1847	0.1968	0.3843	0.2129	0.3828	0.1908	0.4012
7_RASMC_H3K27AC_PDGF_2H_REP2_3271_lociStitched	chr10(.):1243160-1247483	0.692	0.9156	0.6388	0.7	1.5506	1.4196	0.6673	0.4466	0.6648	0.871	0.2123	0.3548	0.2013	0.2594	0.2	0.241	0.2119	0.2801	0.1937	0.2181
6_RASMC_H3K27AC_PDGF_24H_REP2_9928_lociStitched	chr2(.):198850739-198854758	0.8126	0.9628	1.2123	1.7517	0.9596	0.8801	1.2993	2.4687	1.0111	1.08	0.2022	0.4397	0.2179	0.2188	0.1989	0.3804	0.2447	0.2583	0.23	0.516
9_RASMC_H3K27AC_PDGF_2H_REP2_16657_lociStitched	chr3(.):92826475-92837299	0.5184	0.4591	0.8499	0.3783	0.5564	0.3995	1.4746	0.2853	0.548	0.317	0.189	0.2001	0.2256	0.1896	0.1837	0.266	0.2532	0.2489	0.1983	0.1157
8_RASMC_H3K27AC_PDGF_2H_REP2_25483_lociStitched	chr8(.):111109786-111123078	1.0757	0.7361	0.7001	0.6614	0.635	0.4219	0.9334	0.5952	1.4882	1.2377	0.1719	0.3172	0.1749	0.1768	0.1629	0.2871	0.1744	0.2558	0.1857	0.2693
6_RASMC_H3K27AC_PDGF_2H_NEW_11176_lociStitched	chr16(.):71088704-71091940	0.6158	1.2203	0.9434	2.0051	0.7466	0.6987	0.9724	2.1896	0.8195	1.0055	0.1951	0.5031	0.2231	0.1749	0.1992	0.4091	0.2321	0.431	0.188	0.6923
10_RASMC_H3K27AC_PDGF_2H_REP2_8271_lociStitched	chr14(.):13183346-13195188	0.7482	0.7589	1.6269	1.3678	1.3331	0.9376	2.4301	1.9654	0.6892	0.4334	0.1406	0.3399	0.173	0.1666	0.1551	0.252	0.2077	0.2628	0.1315	0.208
10_RASMC_H3K27AC_PDGF_24H_REP2_10542_lociStitched	chr20(.):12146954-12167199	1.3243	2.0545	2.2646	2.4823	1.8011	1.4999	2.5579	3.1536	1.1993	1.0082	0.1559	0.6492	0.1913	0.2361	0.1926	0.544	0.2017	0.5832	0.17	0.5971
6_RASMC_H3K27AC_UNSTIM_REP1_9485_lociStitched	chr4(.):77462244-77465168	0.7785	0.8573	0.7674	0.9832	0.9988	0.8632	0.7583	0.4923	0.9101	1.0764	0.2175	0.3616	0.2421	0.2776	0.2239	0.3977	0.2311	0.2465	0.2535	0.4659
6_RASMC_H3K27AC_PDGF_24H_REP2_14195_lociStitched	chr5(.):151352960-151358134	0.5745	0.8213	0.6119	0.4773	0.8609	0.8579	0.8336	0.7486	0.5083	0.5293	0.1758	0.3658	0.2101	0.2457	0.1876	0.2532	0.215	0.3086	0.1896	0.1727
6_RASMC_H3K27AC_PDGF_24H_NEW_16349_lociStitched	chr2(.):197931467-197939052	1.4983	1.6312	1.5939	1.7858	1.7093	1.4489	1.6542	2.3419	1.6697	1.5643	0.2022	0.497	0.2359	0.243	0.2178	0.4427	0.2264	0.3911	0.2201	0.6072
8_RASMC_H3K27AC_PDGF_2H_REP2_19073_lociStitched	chr4(.):157610753-157617719	0.8829	1.3273	1.0748	1.926	0.8916	0.8131	1.1108	2.222	1.0606	1.025	0.1833	0.4355	0.2011	0.1814	0.192	0.4595	0.1886	0.4097	0.1883	0.5122
6_RASMC_H3K27AC_UNSTIM_REP1_3777_lociStitched	chr13(.):104231760-104232847	0.9502	0.4935	0.8558	0.5974	1.0841	0.377	1.2383	0.4689	1.3194	0.6773	0.0661	0.1371	0.0533	0.0704	0.0869	0.2081	0.0933	0.0966	0.0582	0.0783
9_RASMC_H3K27AC_PDGF_24H_REP2_10355_lociStitched	chr20(.):3337736-3347258	1.3336	1.476	1.6181	1.4764	1.687	1.3406	1.6107	1.3516	1.489	1.4843	0.233	0.5104	0.24	0.2572	0.2374	0.4608	0.2509	0.3836	0.2357	0.5134
7_RASMC_H3K27AC_PDGF_2H_REP2_7201_lociStitched	chr13(.):36288244-36293202	0.904	1.2161	0.9278	1.0284	0.5981	0.5677	0.7498	0.8834	0.655	0.7266	0.1679	0.3514	0.1975	0.2254	0.1474	0.2989	0.156	0.3356	0.1648	0.3656
6_RASMC_H3K27AC_UNSTIM_NEW_2984_lociStitched	chr1(.):229633324-229643297	1.9319	1.11	2.4553	1.8073	1.8594	1.0557	2.4582	2.1547	2.2112	1.3905	0.3257	0.4248	0.3613	0.2179	0.3327	0.3136	0.3732	0.3306	0.3347	0.3654
8_RASMC_H3K27AC_PDGF_24H_REP2_8306_lociStitched	chr18(.):58881251-58887278	0.7058	1.2051	1.0152	0.707	1.188	1.2949	0.8733	0.5318	0.3771	0.3541	0.1652	0.1603	0.1653	0.233	0.1713	0.2608	0.1528	0.2769	0.146	0.1143
11_RASMC_H3K27AC_PDGF_2H_NEW_6590_lociStitched	chr12(.):8907705-8918436	0.6094	0.5436	1.2326	1.0649	0.5485	0.585	1.2574	0.9431	0.6868	0.6116	0.0734	0.2404	0.1028	0.1033	0.0825	0.1942	0.1013	0.2379	0.0874	0.1571
7_RASMC_H3K27AC_UNSTIM_NEW_20328_lociStitched	chr3(.):118369152-118380006	0.5853	0.2516	0.5404	0.1788	0.6257	0.3525	0.7913	0.1411	0.7979	0.4873	0.167	0.0265	0.1676	0.1612	0.1555	0.0833	0.1585	0.061	0.1629	0.0954
9_RASMC_H3K27AC_UNSTIM_REP1_8184_lociStitched	chr3(.):3566970-3576817	1.6011	2.101	1.0852	1.5377	1.3015	0.8059	0.9374	1.6421	1.555	1.1674	0.2175	0.7287	0.2323	0.1922	0.175	0.4729	0.2236	0.6326	0.2106	0.7805
9_RASMC_H3K27AC_PDGF_24H_REP2_4074_lociStitched	chr11(.):58078644-58084280	1.3943	1.2551	1.1567	0.9497	1.4623	1.1939	1.0684	1.0716	1.5362	1.639	0.2164	0.5441	0.2222	0.2109	0.2036	0.3819	0.2097	0.3433	0.2286	0.5985
7_RASMC_H3K27AC_PDGF_2H_REP2_20342_lociStitched	chr5(.):137066454-137071002	0.6861	1.143	0.7478	0.5356	0.5024	0.3473	0.6005	0.4678	0.5785	0.46	0.1577	0.4619	0.1714	0.1346	0.1347	0.2697	0.1624	0.4915	0.1679	0.428
8_RASMC_H3K27AC_UNSTIM_REP1_8673_lociStitched	chr3(.):105064310-105077271	0.6705	0.3066	0.9668	0.5394	0.4317	0.2883	0.8435	0.3128	0.8445	0.4378	0.1627	0.1066	0.193	0.1812	0.1527	0.1401	0.1769	0.1599	0.1757	0.1254
6_RASMC_H3K27AC_PDGF_2H_REP2_10466_lociStitched	chr16(.):71186051-71191307	0.4488	0.5489	0.3932	0.2303	0.7631	0.5905	0.542	0.2522	0.3865	0.4422	0.1664	0.229	0.1769	0.1367	0.1908	0.2424	0.193	0.2445	0.1636	0.198
6_RASMC_H3K27AC_PDGF_2H_REP2_20861_lociStitched	chr5(.):156579749-156584427	1.1669	2.1444	1.4817	2.6008	1.064	0.9646	1.3591	2.9448	1.4758	1.2749	0.1927	0.9021	0.2322	0.2506	0.2179	0.7124	0.2092	0.556	0.1872	0.8262
6_RASMC_H3K27AC_PDGF_24H_NEW_26359_lociStitched	chr7(.):31881259-31885671	0.9622	1.2765	0.9744	1.1895	0.8974	0.888	0.8811	1.4008	1.0708	1.1165	0.2175	0.4356	0.2475	0.2119	0.2394	0.5198	0.2362	0.5078	0.2201	0.3604
6_RASMC_H3K27AC_PDGF_2H_NEW_16220_lociStitched	chr2(.):211089675-211093663	1.2161	1.118	0.7732	0.3366	1.3558	0.8103	0.5847	0.1907	0.9993	0.7284	0.206	0.4266	0.1958	0.1978	0.2098	0.3415	0.1991	0.2837	0.1659	0.2879
6_RASMC_H3K27AC_PDGF_24H_NEW_18344_lociStitched	chr3(.):21674117-21678375	1.0654	1.1825	1.5346	2.1232	1.2789	1.0335	1.9349	2.7565	1.3764	1.0812	0.2489	0.2228	0.2532	0.2038	0.2349	0.32	0.2638	0.364	0.2179	0.3603
22_RASMC_H3K27AC_UNSTIM_NEW_23664_lociStitched	chr5(.):58840115-58862984	0.9957	1.3656	0.8747	1.2466	0.9326	0.8691	1.198	1.3403	1.2324	1.4557	0.1798	0.3498	0.1831	0.1963	0.1616	0.3621	0.1834	0.3638	0.1824	0.5184
9_RASMC_H3K27AC_UNSTIM_REP1_6249_lociStitched	chr19(.):10275846-10286148	0.8382	1.2272	0.9795	1.2743	0.5862	0.6169	1.1876	1.4421	0.9045	0.5742	0.1587	0.529	0.2069	0.2244	0.1561	0.4756	0.1949	0.553	0.1793	0.4076
8_RASMC_H3K27AC_PDGF_2H_NEW_3933_lociStitched	chr10(.):40810485-40815050	0.8448	1.4369	1.2468	2.1011	0.9756	0.9091	1.1839	2.5116	1.0312	1.1172	0.2128	0.5053	0.2605	0.3032	0.1995	0.3938	0.2348	0.537	0.2072	0.7295
10_RASMC_H3K27AC_PDGF_2H_REP2_20159_lociStitched	chr5(.):125695014-125701532	0.7373	0.5015	0.8457	0.7257	1.0308	0.7328	1.497	0.5709	0.9747	1.0459	0.164	0.2649	0.1769	0.2174	0.191	0.2379	0.2155	0.2706	0.1695	0.209
6_RASMC_H3K27AC_UNSTIM_REP1_4818_lociStitched	chr16(.):8056605-8062994	0.8736	0.915	0.6629	0.5822	0.836	0.6699	0.6997	0.4223	0.9729	1.5185	0.1611	0.2747	0.1753	0.2078	0.1582	0.2346	0.1979	0.2596	0.1737	0.2959
8_RASMC_H3K27AC_PDGF_2H_NEW_28300_lociStitched	chr8(.):82472634-82481932	0.7137	0.7486	0.6674	0.4896	1.3574	1.2238	0.6658	0.4131	0.5808	0.9144	0.1852	0.2234	0.1822	0.2208	0.1978	0.218	0.1919	0.1909	0.1689	0.1881
8_RASMC_H3K27AC_PDGF_24H_REP2_11041_lociStitched	chr3(.):11906115-11916698	1.3892	1.9443	2.1727	2.4931	1.9479	1.532	2.6863	2.8991	1.4897	1.3107	0.1891	0.4985	0.2508	0.2622	0.224	0.5162	0.2612	0.632	0.2124	0.7403
7_RASMC_H3K27AC_UNSTIM_REP1_5913_lociStitched	chr18(.):29209080-29216745	0.5069	0.8206	0.2813	0.46	0.469	0.4879	0.2448	0.3357	0.516	0.8206	0.1787	0.2915	0.1688	0.2152	0.1641	0.3294	0.1556	0.3557	0.1773	0.1945
7_RASMC_H3K27AC_UNSTIM_REP1_4891_lociStitched	chr16(.):26734463-26743402	1.1133	1.3192	2.101	2.2242	1.1773	1.0423	2.9555	2.6981	1.6907	1.3793	0.1743	0.3716	0.2087	0.2365	0.1674	0.3019	0.2185	0.3104	0.1836	0.4561
9_RASMC_H3K27AC_PDGF_2H_REP2_13726_lociStitched	chr2(.):94988695-95000660	0.7694	0.5797	0.7781	0.4818	0.7425	0.5229	0.9183	0.3951	0.9855	0.6005	0.169	0.2916	0.1604	0.1595	0.1506	0.2073	0.1671	0.2214	0.1636	0.2355
6_RASMC_H3K27AC_UNSTIM_NEW_17040_lociStitched	chr2(.):189921959-189925189	0.9457	1.0772	1.4917	1.9912	1.272	0.9005	1.6744	2.2589	1.0991	0.8334	0.1504	0.5239	0.1688	0.1783	0.1527	0.5456	0.1831	0.4189	0.1598	0.6083
6_RASMC_H3K27AC_UNSTIM_NEW_21078_lociStitched	chr3(.):171456301-171461312	0.6572	1.1255	1.2138	1.3033	0.4288	0.4327	1.3474	0.9774	1.2833	1.1319	0.1504	0.3751	0.2024	0.1649	0.1495	0.2271	0.1652	0.3146	0.17	0.4127
7_RASMC_H3K27AC_PDGF_24H_REP2_6163_lociStitched	chr14(.):102986839-102993308	0.5503	0.4414	0.8629	0.4462	0.7993	0.5068	1.2809	0.4131	0.8432	0.5819	0.1565	0.1199	0.1798	0.1821	0.1659	0.1187	0.1968	0.138	0.1628	0.1181
7_RASMC_H3K27AC_UNSTIM_NEW_20702_lociStitched	chr3(.):147041213-147052089	0.6184	0.8569	1.5243	2.0425	1.528	1.413	2.6895	2.3509	0.7185	0.5787	0.1928	0.3449	0.2352	0.2441	0.2109	0.3599	0.2448	0.4627	0.1748	0.4689
6_RASMC_H3K27AC_UNSTIM_NEW_22575_lociStitched	chr4(.):140245037-140249547	1.1554	1.2791	1.4841	2.2111	0.8875	0.796	1.1386	2.0146	1.3598	1.5608	0.2383	0.5071	0.2198	0.229	0.1753	0.5625	0.2136	0.5478	0.2095	0.6673
8_RASMC_H3K27AC_PDGF_24H_REP2_14697_lociStitched	chr6(.):21444397-21449431	0.9264	0.8835	0.6766	0.5999	1.3878	0.887	0.9316	0.4214	0.9691	1.1387	0.1818	0.1936	0.1727	0.2053	0.1853	0.2787	0.1871	0.3119	0.185	0.1938
6_RASMC_H3K27AC_PDGF_24H_NEW_13643_lociStitched	chr18(.):63765701-63767877	0.6387	1.0998	0.7254	0.8039	0.9086	0.7073	0.9282	0.9919	0.7633	0.5882	0.0645	0.2757	0.0706	0.0707	0.0658	0.2418	0.0869	0.2856	0.083	0.3413
