GENE_ID	locusLine	RASMC_H3K27AC_PDGF_24H_NEW	RASMC_H3K27AC_PDGF_24H_REP2	RASMC_H3K27AC_PDGF_2H_NEW	RASMC_H3K27AC_PDGF_2H_REP2	RASMC_H3K27AC_PDGF_JQ1_24H_NEW	RASMC_H3K27AC_PDGF_JQ1_24H_REP2	RASMC_H3K27AC_PDGF_JQ1_2H_NEW	RASMC_H3K27AC_PDGF_JQ1_2H_REP2	RASMC_H3K27AC_UNSTIM_NEW	RASMC_H3K27AC_UNSTIM_REP1	RASMC_WCE_PDGF_24H_NEW	RASMC_WCE_PDGF_24H_REP2	RASMC_WCE_PDGF_2H_NEW	RASMC_WCE_PDGF_2H_REP2	RASMC_WCE_PDGF_JQ1_24H_NEW	RASMC_WCE_PDGF_JQ1_24H_REP2	RASMC_WCE_PDGF_JQ1_2H_NEW	RASMC_WCE_PDGF_JQ1_2H_REP2	RASMC_WCE_UNSTIM_NEW	RASMC_WCE_UNSTIM_REP2
RASMC_H3K27AC_UNSTIM_REP1_5951	chr18(.):32947755-32948725	0.663	0.0541	0.8042	0.1589	1.0381	0.5707	1.1214	0.0653	0.837	1.1005	0.2069	0.006	0.2263	0.1497	0.2726	0.1189	0.2184	0.0469	0.2249	0.0
RASMC_H3K27AC_UNSTIM_REP1_2390	chr10(.):94076619-94077272	0.9721	1.275	0.9856	0.31	1.4727	1.4931	1.1526	0.409	0.7427	0.9829	0.2604	0.4632	0.2047	0.2556	0.261	0.3585	0.1889	0.1877	0.2142	0.0773
RASMC_H3K27AC_UNSTIM_REP1_7511	chr2(.):198851459-198853796	1.2701	1.6148	1.8812	2.9228	1.4205	1.3419	1.9739	4.1426	1.5787	1.706	0.2098	0.7413	0.2346	0.2493	0.2288	0.5845	0.2582	0.3847	0.2643	0.8523
RASMC_H3K27AC_UNSTIM_REP1_6054	chr18(.):50276645-50277431	0.3733	0.0244	0.5535	0.0761	0.8522	0.6903	0.7344	0.0243	0.487	0.9321	0.1994	0.0055	0.2023	0.2127	0.2559	0.1842	0.2384	0.011	0.157	0.1159
RASMC_H3K27AC_UNSTIM_REP1_4279	chr14(.):104561658-104563760	0.9543	1.1348	0.4663	0.3737	0.5362	0.2614	0.392	0.2485	1.2808	1.2812	0.1895	0.3639	0.1559	0.1572	0.1785	0.2037	0.137	0.1576	0.2401	0.3241
RASMC_H3K27AC_UNSTIM_REP1_12125	chr7(.):69212430-69215993	1.3726	1.1683	1.3455	1.8029	1.3416	1.005	1.0216	1.7922	1.6072	1.2367	0.1621	0.2889	0.153	0.1786	0.1635	0.266	0.174	0.4193	0.1625	0.549
RASMC_H3K27AC_UNSTIM_REP1_14208	chrX(.):112606872-112607641	0.5233	0.0372	0.2802	0.025	1.2953	0.5151	0.4442	0.0391	0.6819	0.8529	0.1359	0.0	0.0715	0.0223	0.1137	0.0048	0.1248	0.0261	0.1122	0.008
RASMC_H3K27AC_UNSTIM_REP1_1056	chr1(.):199703893-199705310	0.6038	0.3826	0.3165	0.3092	0.2471	0.1254	0.2509	0.0334	0.9365	0.8099	0.2049	0.247	0.2768	0.1518	0.1987	0.2274	0.232	0.2684	0.2966	0.1923
RASMC_H3K27AC_UNSTIM_REP1_5497	chr17(.):35748282-35751546	1.2114	0.5656	1.01	0.342	2.1855	0.8622	1.5809	0.2022	2.1231	1.3855	0.1612	0.1376	0.1951	0.1909	0.1996	0.19	0.2217	0.0812	0.199	0.0342
RASMC_H3K27AC_UNSTIM_REP1_8009	chr20(.):21970204-21971737	0.7126	0.8261	0.5978	0.5193	0.6415	0.3275	0.494	0.4088	0.8217	0.761	0.1476	0.2703	0.1371	0.1997	0.1239	0.1347	0.1425	0.1731	0.1458	0.1886
RASMC_H3K27AC_UNSTIM_REP1_11049	chr6(.):7552606-7553496	0.9882	0.1511	0.4064	0.0928	1.2614	0.6908	0.414	0.0755	0.9816	0.9297	0.2188	0.065	0.2423	0.2439	0.1802	0.1294	0.1855	0.0678	0.2162	0.0069
RASMC_H3K27AC_UNSTIM_REP1_1659	chr1(.):277920399-277923240	0.2241	0.4058	0.2918	0.4244	0.2073	0.3087	0.2325	0.2783	0.5485	1.3453	0.0993	0.2308	0.1356	0.1384	0.1308	0.2168	0.1362	0.2704	0.1545	0.2121
RASMC_H3K27AC_UNSTIM_REP1_12702	chr8(.):12041744-12042794	1.3674	1.0541	1.1926	0.5219	2.2776	1.1039	1.3589	0.723	1.3997	0.9631	0.1969	0.6315	0.1718	0.2429	0.2438	0.3321	0.2707	0.3969	0.1916	0.3471
RASMC_H3K27AC_UNSTIM_REP1_5670	chr17(.):70024726-70025765	1.4372	1.3211	0.4186	0.4449	1.1185	0.6107	0.4053	0.5719	1.2199	0.8907	0.2012	0.6332	0.1555	0.1249	0.1352	0.0866	0.1237	0.236	0.1618	0.2769
RASMC_H3K27AC_UNSTIM_REP1_1993	chr10(.):52100485-52101815	0.9822	0.9201	0.5716	0.4184	0.8864	0.4744	0.8801	0.3627	1.2881	1.1713	0.2046	0.1219	0.1782	0.1191	0.1592	0.222	0.1853	0.1496	0.1994	0.2585
RASMC_H3K27AC_UNSTIM_REP1_8828	chr3(.):119079791-119080938	1.3616	0.6169	2.1291	1.3838	1.4142	1.2186	2.815	0.8586	1.4715	1.0252	0.2373	0.3163	0.2803	0.2134	0.2462	0.2658	0.3343	0.4072	0.2377	0.1656
RASMC_H3K27AC_UNSTIM_REP1_320	chr1(.):65617144-65618762	1.3181	1.9335	1.4133	1.7613	1.7192	1.6274	1.6877	1.812	1.4924	1.5421	0.2231	0.5336	0.2445	0.2053	0.2702	0.4666	0.2546	0.7026	0.2352	0.6548
RASMC_H3K27AC_UNSTIM_REP1_3066	chr12(.):6830049-6834274	3.1297	2.0006	1.5235	0.9872	1.9646	0.5934	1.1025	0.7599	3.6719	1.5142	0.2457	0.7361	0.2198	0.1916	0.1969	0.4911	0.215	0.6248	0.2412	0.8826
RASMC_H3K27AC_UNSTIM_REP1_11725	chr6(.):127428917-127429676	0.0895	0.1016	0.2284	0.271	0.0282	0.1843	0.1389	0.133	0.235	0.7609	0.1125	0.2832	0.0638	0.1922	0.1384	0.106	0.1038	0.0379	0.0895	0.1773
RASMC_H3K27AC_UNSTIM_REP1_5805	chr18(.):1407953-1410168	0.407	0.1832	0.2246	0.1159	0.2324	0.2621	0.1892	0.1042	0.5851	1.2732	0.1546	0.1067	0.1248	0.1606	0.137	0.0274	0.1199	0.0384	0.1631	0.1155
RASMC_H3K27AC_UNSTIM_REP1_95	chr1(.):20953747-20956600	0.757	0.6991	0.9626	0.4387	1.1436	1.0122	0.9261	0.4764	1.0162	1.3697	0.2071	0.1774	0.2309	0.2367	0.1806	0.2051	0.2141	0.2974	0.2214	0.1614
RASMC_H3K27AC_UNSTIM_REP1_4381	chr15(.):9238613-9242615	0.4322	2.0279	0.3829	1.8305	0.6641	1.4954	0.4798	3.1515	0.4732	1.915	0.1758	0.7886	0.1984	0.2249	0.1681	0.6133	0.1679	0.6904	0.175	0.8613
RASMC_H3K27AC_UNSTIM_REP1_2195	chr10(.):73399738-73400979	1.2654	1.5614	1.0694	0.6807	2.0328	1.292	1.0752	0.6692	0.8044	0.873	0.1656	0.3033	0.2058	0.1826	0.2019	0.3855	0.241	0.231	0.1555	0.1059
RASMC_H3K27AC_UNSTIM_REP1_3715	chr13(.):97729949-97731249	1.1038	0.8732	0.8771	0.534	1.1	0.8356	0.8329	0.2006	1.5744	1.3517	0.1062	0.0807	0.1275	0.1038	0.0695	0.2649	0.1037	0.2499	0.1087	0.0374
RASMC_H3K27AC_UNSTIM_REP1_8630	chr3(.):98065747-98067130	0.8373	0.3593	0.6341	0.1506	1.3407	0.8046	1.0253	0.1266	1.0429	0.8841	0.2296	0.1962	0.2678	0.2628	0.2573	0.2293	0.3118	0.1514	0.2621	0.0307
RASMC_H3K27AC_UNSTIM_REP1_1605	chr1(.):264830292-264831740	2.1373	2.8556	2.4126	1.6586	1.8993	2.0589	1.826	1.8268	1.9528	1.4666	0.3834	0.8217	0.4415	0.3812	0.3327	0.6484	0.3849	0.636	0.3666	0.5254
RASMC_H3K27AC_UNSTIM_REP1_4426	chr15(.):18578175-18580820	1.6571	0.7134	1.0526	0.4726	1.931	0.8116	0.8845	0.3248	1.8873	1.4433	0.2322	0.2943	0.2277	0.189	0.2244	0.3791	0.2213	0.4193	0.248	0.4223
RASMC_H3K27AC_UNSTIM_REP1_10004	chr4(.):170424278-170428542	1.7196	1.7677	1.8679	0.7778	2.2495	1.2343	1.5541	0.5192	1.9322	1.5136	0.2123	0.5758	0.205	0.2031	0.2432	0.4228	0.2066	0.3515	0.2121	0.4859
RASMC_H3K27AC_UNSTIM_REP1_11832	chr7(.):12418673-12423088	3.0713	4.8476	2.9025	5.4779	2.093	1.3971	1.5948	3.7461	3.3731	2.0268	0.1935	1.1953	0.2422	0.2799	0.1771	0.657	0.1636	0.8489	0.202	1.0037
RASMC_H3K27AC_UNSTIM_REP1_206	chr1(.):39157472-39158139	0.796	0.0216	0.3908	0.0754	0.5621	0.17	0.3384	0.0122	2.2117	0.6	0.5124	0.1238	0.4415	0.3765	0.3872	0.023	0.4055	0.0832	0.4831	0.0202
RASMC_H3K27AC_UNSTIM_REP1_13977	chr9(.):113325676-113327139	0.7191	0.464	0.4658	0.2799	0.7615	0.7097	0.5634	0.1406	0.7158	1.069	0.1765	0.0754	0.2123	0.1407	0.1975	0.2133	0.2615	0.1199	0.2234	0.0396
RASMC_H3K27AC_UNSTIM_REP1_2594	chr11(.):27033165-27034130	0.2688	0.1657	0.1844	0.1763	0.3051	0.1321	0.1996	0.0067	0.5829	0.7273	0.1203	0.2336	0.1035	0.1035	0.1458	0.1521	0.1324	0.0363	0.1397	0.0115
RASMC_H3K27AC_UNSTIM_REP1_1609	chr1(.):266401059-266406717	1.1157	1.4832	1.2628	1.2667	3.2318	1.3393	1.7911	1.4035	1.6892	1.4036	0.3324	0.9219	0.3678	0.2829	0.3818	0.7167	0.3721	0.6628	0.3471	0.7344
RASMC_H3K27AC_UNSTIM_REP1_3444	chr13(.):61193974-61194607	0.1625	0.334	0.0772	0.1117	0.1014	0.1718	0.1181	0.0095	0.2943	0.8316	0.0473	0.0061	0.1106	0.1142	0.1382	0.0237	0.106	0.1273	0.1677	0.0139
RASMC_H3K27AC_UNSTIM_REP1_5482	chr17(.):34319564-34322341	1.4786	1.1226	1.0976	0.873	1.295	1.0972	1.2675	0.8387	2.0407	1.8877	0.231	0.2043	0.2527	0.1935	0.2044	0.2336	0.2203	0.1296	0.2029	0.1182
RASMC_H3K27AC_UNSTIM_REP1_5910	chr18(.):29195795-29196885	1.0661	0.9878	0.8698	0.9638	1.1339	0.5295	0.7829	0.6102	1.2003	1.0816	0.1598	0.0243	0.2569	0.374	0.1869	0.2989	0.2274	0.149	0.1867	0.0306
RASMC_H3K27AC_UNSTIM_REP1_4154	chr14(.):82688938-82691267	1.523	0.5104	0.7558	0.3332	1.478	0.5746	0.5929	0.1848	1.4226	1.025	0.2092	0.2059	0.1964	0.2893	0.1936	0.2274	0.1897	0.1051	0.2163	0.2818
RASMC_H3K27AC_UNSTIM_REP1_13306	chr8(.):111458588-111462226	1.5378	2.0335	1.8142	1.461	2.2252	1.7053	2.2523	1.2191	1.6702	1.2848	0.2313	0.4179	0.2392	0.2378	0.1998	0.327	0.2097	0.3688	0.2177	0.3556
RASMC_H3K27AC_UNSTIM_REP1_5245	chr17(.):769436-770679	0.561	0.9179	0.4142	0.647	0.8601	1.3291	0.5554	0.5937	0.5632	0.908	0.1718	0.2653	0.1761	0.1465	0.2011	0.2108	0.1816	0.4742	0.2498	0.164
RASMC_H3K27AC_UNSTIM_REP1_7299	chr2(.):165641741-165642855	1.7174	1.5827	2.0683	1.5539	2.0118	1.3919	1.9342	1.7452	2.2388	1.7077	0.2184	0.7913	0.3021	0.2288	0.2194	0.389	0.2424	0.5671	0.231	0.4133
RASMC_H3K27AC_UNSTIM_REP1_4259	chr14(.):102858110-102859518	0.5906	0.4461	0.5662	0.2438	0.655	0.3647	0.6707	0.0637	1.149	0.8462	0.1724	0.1328	0.2098	0.1108	0.1567	0.2143	0.1867	0.1127	0.227	0.1865
RASMC_H3K27AC_UNSTIM_REP1_7613	chr2(.):219167747-219169915	0.5286	0.2906	0.4977	0.1757	0.967	1.0264	0.8142	0.2056	0.6942	1.191	0.1651	0.1352	0.132	0.1449	0.1047	0.0988	0.1371	0.1306	0.1202	0.0421
RASMC_H3K27AC_UNSTIM_REP1_3219	chr12(.):38091981-38093747	1.3789	1.7739	1.977	2.774	1.4113	1.4996	1.8164	2.5466	1.8358	1.8843	0.2332	0.6314	0.2933	0.3576	0.2629	0.6459	0.2749	0.5069	0.2601	0.7138
RASMC_H3K27AC_UNSTIM_REP1_6777	chr2(.):44531275-44532279	1.3313	0.1705	0.5158	0.3078	1.5456	0.8844	0.8535	0.0949	1.385	1.181	0.162	0.1545	0.1947	0.2536	0.2506	0.1592	0.2174	0.0996	0.235	0.0355
RASMC_H3K27AC_UNSTIM_REP1_26	chr1(.):5635774-5636559	0.8027	0.0973	0.2866	0.1137	0.8173	0.5191	0.4056	0.068	1.1651	0.7503	0.2359	0.0195	0.223	0.1818	0.1966	0.2508	0.2191	0.0193	0.2184	0.0
RASMC_H3K27AC_UNSTIM_REP1_2015	chr10(.):55491696-55493664	1.3117	1.9917	2.5629	3.1958	1.855	1.6474	2.8249	3.5955	1.7785	1.6996	0.241	0.4473	0.2702	0.3262	0.2586	0.6948	0.2891	0.9053	0.2575	0.588
RASMC_H3K27AC_UNSTIM_REP1_9823	chr4(.):145112292-145114029	0.6912	0.9876	0.4481	0.4369	0.8097	0.5171	0.4949	0.2927	0.7123	1.167	0.211	0.2425	0.2233	0.1466	0.2307	0.395	0.2399	0.2761	0.1907	0.3177
RASMC_H3K27AC_UNSTIM_REP1_5372	chr17(.):22755909-22758990	1.2292	0.4725	1.2848	0.7207	0.7068	0.257	1.4704	0.5484	2.3974	1.2874	0.169	0.2148	0.1612	0.191	0.1739	0.3239	0.2098	0.3027	0.194	0.118
RASMC_H3K27AC_UNSTIM_REP1_13375	chr8(.):124452658-124453607	0.8235	0.8968	0.2024	0.1347	0.8482	0.4555	0.2368	0.3664	0.8491	0.9431	0.2177	0.0553	0.1761	0.1244	0.2148	0.2567	0.1658	0.2677	0.1852	0.0944
RASMC_H3K27AC_UNSTIM_REP1_1015	chr1(.):193296818-193300198	1.2721	0.8807	0.9344	0.6219	1.4186	0.7299	0.9305	0.5034	1.4197	1.2009	0.258	0.2821	0.2383	0.256	0.2198	0.2379	0.2848	0.222	0.2799	0.2124
RASMC_H3K27AC_UNSTIM_REP1_4184	chr14(.):85752420-85755448	2.0367	2.0405	2.9228	5.0512	1.5931	1.2876	2.9373	5.6073	2.2164	1.796	0.2174	0.7843	0.2655	0.2625	0.2139	0.6209	0.278	0.8052	0.2373	0.8818
RASMC_H3K27AC_UNSTIM_REP1_13155	chr8(.):91094382-91095860	1.1094	1.2998	1.2007	0.8474	1.5896	1.5767	1.3059	0.9197	1.2017	1.1817	0.1927	0.3769	0.1996	0.2512	0.2138	0.5203	0.2117	0.2521	0.1896	0.4066
RASMC_H3K27AC_UNSTIM_REP1_3924	chr14(.):18791969-18793093	1.723	1.1004	1.7741	0.6255	2.2753	1.6635	2.1824	0.7739	1.401	0.9746	0.2081	0.1591	0.2369	0.2268	0.1999	0.3288	0.2621	0.1121	0.21	0.4843
RASMC_H3K27AC_UNSTIM_REP1_4720	chr15(.):101875461-101876130	0.3171	0.4409	0.0979	0.0323	0.1532	0.114	0.0903	0.0	0.6535	1.027	0.0983	0.1579	0.059	0.0405	0.0772	0.1128	0.126	0.0	0.1655	0.0667
RASMC_H3K27AC_UNSTIM_REP1_6099	chr18(.):56179457-56182184	1.4592	1.4044	1.5962	1.3254	0.7605	0.8062	1.5192	1.183	2.0585	1.501	0.1656	0.6535	0.2125	0.2918	0.1649	0.2737	0.2207	0.3896	0.1933	0.4794
RASMC_H3K27AC_UNSTIM_REP1_2484	chr10(.):109510180-109511302	1.8132	2.1969	1.9715	1.2187	1.7878	0.9633	1.9625	0.7353	2.211	1.3355	0.1632	0.0916	0.1573	0.2032	0.1814	0.5208	0.2029	0.456	0.2079	0.349
RASMC_H3K27AC_UNSTIM_REP1_3976	chr14(.):37551276-37553154	1.3277	1.0865	2.0391	1.3186	1.8296	1.444	2.3631	1.4374	1.5827	1.3613	0.232	0.8049	0.1922	0.2634	0.1956	0.504	0.2292	0.5668	0.1819	0.4021
RASMC_H3K27AC_UNSTIM_REP1_8721	chr3(.):109788499-109790044	2.0944	0.9011	1.893	0.6976	1.8408	1.12	1.356	0.1309	2.07	0.9829	0.2234	0.0903	0.2469	0.296	0.2531	0.1394	0.2642	0.094	0.2421	0.0631
RASMC_H3K27AC_UNSTIM_REP1_2935	chr11(.):76807335-76809225	1.3209	0.9733	2.0008	1.4727	1.6963	1.5811	1.8736	0.8083	1.2523	1.4947	0.1889	0.3956	0.2112	0.2866	0.1875	0.5378	0.2175	0.377	0.1745	0.219
RASMC_H3K27AC_UNSTIM_REP1_7745	chr2(.):243530831-243532899	0.5139	0.9924	0.8123	0.7839	0.9837	0.8607	0.7237	0.4616	0.7336	1.0667	0.1597	0.1989	0.1489	0.2121	0.1627	0.3218	0.2231	0.4306	0.1628	0.0738
RASMC_H3K27AC_UNSTIM_REP1_9426	chr4(.):62794104-62794747	0.8341	0.2712	0.4086	0.1457	0.6733	0.351	0.5553	0.0185	0.7944	1.129	0.2333	0.0166	0.2532	0.1658	0.2292	0.1555	0.2471	0.0373	0.1878	0.0851
RASMC_H3K27AC_UNSTIM_REP1_10890	chr5(.):156580369-156583588	1.6164	3.0529	2.0567	3.7195	1.4658	1.2979	1.8573	4.2327	2.0543	1.7527	0.2089	1.1884	0.2536	0.275	0.237	0.8397	0.2269	0.696	0.2129	1.0672
RASMC_H3K27AC_UNSTIM_REP1_9314	chr4(.):33849200-33849672	0.8743	0.0717	0.1356	0.0226	2.413	0.6295	0.1697	0.0251	0.3505	0.7597	0.1323	0.0	0.1609	0.0777	0.1318	0.0188	0.1039	0.0008	0.1325	0.0
RASMC_H3K27AC_UNSTIM_REP1_11648	chr6(.):109933033-109940432	2.3444	2.7894	2.6247	2.6541	2.0082	1.6084	2.2192	3.4931	2.6143	2.196	0.2527	0.6845	0.2784	0.2474	0.244	0.5892	0.2644	0.5311	0.2413	0.7247
RASMC_H3K27AC_UNSTIM_REP1_11066	chr6(.):7798109-7799645	0.3876	0.196	0.144	0.2503	0.1953	0.1897	0.2418	0.2358	0.619	1.0189	0.1576	0.4062	0.1426	0.0938	0.1603	0.2292	0.1108	0.1329	0.175	0.3257
RASMC_H3K27AC_UNSTIM_REP1_4474	chr15(.):28719916-28722576	2.0352	1.8705	2.4206	2.4393	2.1545	1.6497	2.2327	2.402	2.3577	2.2236	0.242	0.4866	0.2167	0.2696	0.2282	0.4289	0.262	0.5034	0.2358	0.5708
RASMC_H3K27AC_UNSTIM_REP1_2450	chr10(.):104152402-104153964	0.5416	1.0272	0.2898	0.4366	0.2463	0.2865	0.207	0.5239	0.6001	1.0148	0.2031	0.1408	0.1439	0.2109	0.1546	0.3331	0.1528	0.3498	0.1576	0.4131
RASMC_H3K27AC_UNSTIM_REP1_1850	chr10(.):36174284-36177657	2.0832	1.9393	1.8094	1.7744	2.1765	0.8259	2.0817	2.3197	2.6832	1.507	0.1814	0.9048	0.2402	0.2388	0.2227	0.4418	0.2356	0.6565	0.208	0.839
RASMC_H3K27AC_UNSTIM_REP1_9485	chr4(.):77462853-77464449	1.2706	1.4509	1.2722	1.6374	1.5814	1.3418	1.2252	0.8199	1.5097	1.8054	0.267	0.5501	0.2822	0.2882	0.2363	0.3915	0.292	0.2906	0.3307	0.6908
RASMC_H3K27AC_UNSTIM_REP1_8746	chr3(.):111918814-111919593	0.891	0.3131	0.9337	0.5115	2.8891	1.2489	1.5943	0.2977	1.0561	0.904	0.2354	0.337	0.1985	0.1208	0.2294	0.1409	0.2104	0.1741	0.2209	0.1048
RASMC_H3K27AC_UNSTIM_REP1_3747	chr13(.):101596759-101597809	1.1166	2.1269	1.5997	2.6535	1.393	1.1107	1.8302	3.478	1.2357	1.0489	0.1979	1.0769	0.2592	0.2369	0.1821	0.5914	0.2636	0.5436	0.2173	0.2399
RASMC_H3K27AC_UNSTIM_REP1_4134	chr14(.):80252039-80256581	2.3668	3.561	2.256	1.5912	2.6816	1.5485	1.7733	1.9215	2.7895	1.7579	0.2078	1.0442	0.208	0.1662	0.2222	0.5563	0.2564	0.629	0.2369	1.1195
RASMC_H3K27AC_UNSTIM_REP1_12102	chr7(.):64712208-64718739	0.5891	0.3139	0.7754	0.4358	0.742	0.6492	0.8636	0.1801	1.2056	1.4536	0.1812	0.1009	0.1845	0.2225	0.1824	0.1145	0.2034	0.161	0.2137	0.1567
RASMC_H3K27AC_UNSTIM_REP1_7387	chr2(.):186466133-186466681	0.2444	0.2194	0.777	0.3803	0.5141	0.4127	1.0176	0.3462	0.5687	0.7397	0.1292	0.0139	0.1651	0.1762	0.1436	0.5707	0.158	0.2982	0.1591	0.0862
RASMC_H3K27AC_UNSTIM_REP1_11620	chr6(.):105840031-105841457	0.3316	0.631	0.8826	0.9873	0.8363	1.2648	0.8499	0.6285	0.3575	1.0153	0.1092	0.6369	0.1809	0.3383	0.1699	0.3701	0.2096	0.4359	0.1288	0.5652
RASMC_H3K27AC_UNSTIM_REP1_5433	chr17(.):31456424-31458345	1.3868	1.6323	0.7993	0.2588	0.8069	0.6029	0.6742	0.2165	1.255	1.1748	0.2356	0.4833	0.2046	0.2619	0.2376	0.3566	0.2425	0.3937	0.2109	0.3965
RASMC_H3K27AC_UNSTIM_REP1_5062	chr16(.):59850139-59851577	0.942	0.2466	2.7266	1.364	1.8848	1.6655	3.1571	0.8285	1.6295	1.0968	0.2109	0.0821	0.2748	0.1942	0.1908	0.2594	0.2327	0.3586	0.2383	0.0549
RASMC_H3K27AC_UNSTIM_REP1_14254	chrX(.):156439170-156440563	1.0021	0.5946	1.7173	1.4638	1.0731	0.9163	1.9772	0.6623	1.2328	1.3043	0.1408	0.2268	0.1101	0.1405	0.127	0.1949	0.1612	0.2907	0.1349	0.2109
RASMC_H3K27AC_UNSTIM_REP1_12381	chr7(.):101980081-101980506	0.9316	0.4532	0.9016	0.4115	1.1771	1.0076	0.7359	0.4259	0.9891	0.7747	0.1128	0.0043	0.2343	0.1351	0.1377	0.0187	0.1737	0.5614	0.217	0.0073
RASMC_H3K27AC_UNSTIM_REP1_13911	chr9(.):97684347-97686757	1.2664	1.3695	0.9474	0.5203	0.6845	0.4069	0.7881	0.498	2.2028	1.0472	0.2373	0.2135	0.2193	0.2204	0.1605	0.5013	0.2351	0.3932	0.242	0.819
RASMC_H3K27AC_UNSTIM_REP1_1445	chr1(.):246674338-246680889	3.2168	1.1877	2.9228	0.854	3.9623	1.2172	3.7236	0.764	3.9376	1.6626	0.3424	0.3305	0.3873	0.2943	0.3799	0.3313	0.3919	0.2568	0.375	0.1967
RASMC_H3K27AC_UNSTIM_REP1_7170	chr2(.):140540664-140543461	1.4266	2.3545	1.7081	2.7956	1.4288	1.3297	1.7248	3.1091	1.7339	1.8661	0.2378	1.0554	0.242	0.2851	0.2201	0.6686	0.2701	0.8302	0.2255	0.9647
RASMC_H3K27AC_UNSTIM_REP1_2715	chr11(.):46448401-46449105	0.1243	0.0	0.0672	0.0421	0.3258	0.1003	0.0819	0.0125	0.2987	0.7741	0.1439	0.0	0.0851	0.0587	0.1279	0.009	0.1256	0.0068	0.1388	0.0085
