GENE	BRD4_DELTA_IN_2HR	BRD4_DELTA_IN_24HR	BRD4_DELTA_OUT_2HR	BRD4_DELTA_OUT_24HR	EXP_DELTA_IN_2HR	EXP_DELTA_IN_24HR	EXP_DELTA_OUT_2HR	EXP_DELTA_OUT_24HR
NR3C1	-0.1718	-0.0216	0.0318	-0.0576	-0.3533	-0.1002	0.2325	0.5716
ZFPM1	0.2508	0.5527	0.0325	0.0225	1.6683	1.3172	0.2422	0.5689
NR2F2	-0.2399	-0.2259	0.0332	0.0381	-0.8082	1.0293	0.2338	0.5689
GLIS2	-0.1069	0.0956	0.0334	-0.0569	0.9766	0.3638	0.232	0.5676
FOXC1	-0.1213	-0.0978	0.0334	-0.1351	-1.1626	0.241	0.233	0.57
THRA	-0.0316	0.1079	0.0335	0.0509	0.1095	0.0956	0.2496	0.5742
ZFP91	0.2285	-0.3842	0.0342	-0.0179	-0.4824	-0.1363	0.2342	0.5666
ETS1	0.3652	-0.1037	0.0349	0.0414	2.5645	0.6228	0.2315	0.5683
ARNTL	0.3105	0.2661	0.0354	0.0887	1.8161	0.9315	0.2256	0.5898
ESRRA	0.0401	0.0434	0.0358	0.028	0.2608	0.9603	0.2321	0.5697
BHLHE40	0.0484	-0.2653	0.0366	0.0321	-0.0266	1.0326	0.2451	0.5728
SREBF1	0.0258	0.1872	0.0366	0.051	-0.0656	1.1438	0.2414	0.5779
MEIS1	0.2475	-0.1371	0.0367	-0.0159	-0.3927	-0.124	0.2268	0.5653
GATA2	0.0861	0.2446	0.037	-0.1562	1.3892	0.8527	0.2331	0.57
STAT6	-0.0803	0.1847	0.0386	-0.0562	0.0944	0.6624	0.2334	0.5702
IRF1	-0.1503	0.4703	0.039	-0.074	0.1456	1.1606	0.2332	0.5686
ATF6	0.5077	-0.818	0.0391	0.0457	0.8991	1.021	0.3193	0.5969
RUNX1	0.4094	0.3011	0.0399	0.0281	1.8126	0.493	0.2425	0.5708
FOXP1	0.143	-0.1776	0.0404	-0.1294	1.13	0.1208	0.2313	0.5647
BCL6	-0.0528	0.3249	0.0407	-0.0903	-0.957	0.9524	0.232	0.5684
CEBPB	0.0717	0.3203	0.0413	-0.129	0.8167	0.8719	0.2436	0.5699
FOXC2	0.2726	0.0528	0.0417	-0.1578	1.8672	0.7145	0.2343	0.5735
ATF7	-0.1933	0.0674	0.0419	-0.0238	0.2728	0.6406	0.2961	0.5582
IRF7	0.1156	-0.111	0.042	-0.0991	4.1559	1.574	0.234	0.5714
ERF	-0.057	0.2104	0.0433	0.0557	1.105	0.517	0.2312	0.5732
FOXJ2	0.005	0.0767	0.0433	-0.1342	0.2888	0.0852	0.2327	0.5685
IRF9	0.2033	0.0418	0.0433	-0.0566	1.0172	0.8011	0.2421	0.5686
SOX4	-0.3657	-0.0347	0.0434	-0.0971	-2.4644	0.1199	0.2324	0.5696
TGIF1	0.5971	0.2704	0.0438	-0.0251	1.905	1.0734	0.2264	0.5615
MNT	0.1447	0.0795	0.0439	0.0692	-1.4176	0.7052	0.2467	0.5787
ZFP422	0.0454	-0.0679	0.0455	-0.1379	-0.4324	-0.0965	0.2287	0.5624
ELK3	0.3923	0.0894	0.0461	0.0734	0.6115	1.7115	0.2365	0.579
SF1	0.048	-0.3036	0.0469	0.0093	1.1099	0.1474	0.231	0.5701
GATA6	-0.1424	-0.3304	0.0469	-0.1278	-0.2002	-0.2949	0.2555	0.5679
TBX2	-0.0855	0.3422	0.0483	-0.0159	-0.0552	0.7453	0.2371	0.572
MAFG	0.1933	0.3245	0.0484	0.0136	0.5344	0.7705	0.2302	0.5587
SMAD7	-0.12	0.1544	0.0486	-0.1046	1.3957	0.1001	0.2405	0.556
MAFK	-0.0509	0.1132	0.0498	-0.0373	0.6457	-0.8436	0.2326	0.5644
ZBTB38	-0.1185	0.1395	0.0515	-0.025	0.3905	0.8916	0.2372	0.5671
NFIL3	0.3304	0.2491	0.0518	-0.1377	2.4815	1.2268	0.249	0.5623
CEBPD	-0.0839	-0.2868	0.053	-0.0883	-0.3947	1.4507	0.2878	0.5767
NR1D1	-0.0316	0.1079	0.0543	-0.0565	0.4984	1.2259	0.2695	0.5832
CREB3	-0.0821	-0.2419	0.0545	0.0174	0.4208	0.4689	0.2574	0.5714
PRRX2	0.1198	0.3247	0.0545	-0.1755	0.224	1.401	0.2224	0.5564
OSR1	-0.3177	-0.7449	0.0546	-0.0374	-2.1603	-1.774	0.2369	0.5658
ATF4	0.7046	0.1974	0.0549	0.0243	1.2069	0.0904	0.2557	0.5761
SOX9	0.5987	-0.0623	0.0557	-0.1188	3.5327	1.2236	0.2325	0.5688
ETV4	-0.0624	0.007	0.0589	0.0778	0.1037	1.6637	0.2371	0.5748
SOX12	-0.1017	0.1239	0.0593	-0.1151	-0.7471	0.7657	0.2337	0.5699
PBX1	-0.1335	-0.3055	0.0596	-0.1435	0.0085	0.0229	0.2417	0.5696
MEF2D	-0.1281	0.121	0.0607	-0.2154	0.4952	0.8639	0.2587	0.5693
HEY2	-0.1373	-0.5474	0.0612	0.1068	-1.0724	0.0252	0.2756	0.5801
PRRX1	0.2284	0.1157	0.0655	-0.2032	0.1019	2.6805	0.2365	0.5562
HNF1B	0.1781	-0.077	0.067	-0.1816	0.3319	0.9389	0.2415	0.5725
HOXA2	-0.247	0.1335	0.0688	-0.1415	-1.8251	0.252	0.2545	0.5701
MYC	0.3769	-0.3262	0.0872	0.0036	0.8253	-0.5688	0.2395	0.5584
JUND	-0.0534	0.2522	0.0911	0.0022	0.574	0.5857	0.2329	0.5682
NFE2L2	0.0595	-0.0953	0.1051	0.0365	0.7305	0.842	0.2366	0.5714
JUN	0.1455	0.373	0.1349	0.0131	1.6778	2.4056	0.2308	0.5674
CAP1	0.1685	0.0524	0.1596	-0.0457	0.2353	0.6291	0.2572	0.574
FOSL2	0.4722	-0.0856	0.1686	0.0329	2.3756	-0.198	0.254	0.5713
JUNB	0.2327	0.0957	0.1821	0.0425	3.6969	1.6858	0.2435	0.5654
FOSL1	0.294	0.1343	0.1822	0.0657	5.9186	2.9086	0.2457	0.5663
