PDGF_2H_LOW	PDGF_2H_MEAN	PDGF_2H_HIGH	PDGF_24H_LOW	PDGF_24H_MEAN	PDGF_24H_HIGH
HMGA2	0.00531676026118235	0.0289998202653286	0.0534484812028203	-0.247595869891899	-0.223566794479147	-0.203639161606106
MAFF	0.0215207964347563	0.0299724573817287	0.0374599423364725	-0.0734180111274813	-0.0661737430659307	-0.0586711817493632
THRB	0.0184199605069685	0.030097765721796	0.0411995012132939	0.046330461532707	0.0563999755331864	0.0658102063977714
RXRB	0.0201948858240026	0.0314774104511175	0.0430923068337571	0.0194340265726469	0.0295946688373851	0.0388015521919974
RXRA	0.0244460756789631	0.0316797955062786	0.039367085401034	0.0138024351020727	0.0202252761069314	0.0275078208712481
NR3C1	0.0214192626627987	0.0317651806338399	0.0417976063872483	-0.0666377831171774	-0.0575702093687718	-0.048425070974771
ZFPM1	0.0182698453697083	0.0325376315750171	0.0473755863470126	0.00993817227781792	0.0224690634212172	0.0354034192106408
NR2F2	0.0246248306832725	0.0332112745735453	0.0417560956484225	0.0314379818877029	0.0381344555615145	0.0448951345384385
GLIS2	0.0251951266500446	0.0333790359411741	0.0422241419942669	-0.0642543686152926	-0.0568834591276416	-0.0493542909491142
FOXC1	0.0265268423694309	0.0333917178974024	0.0403609133923552	-0.14193296194215	-0.135127644999052	-0.128459523528219
THRA	0.0124385191339441	0.0334826910351892	0.0544266883520181	0.0331573146359899	0.0508576752189594	0.0686026975392126
ZFP91	0.0209261525064621	0.0342129308766073	0.0471829946532117	-0.0291542375154048	-0.0179052549106362	-0.00610323139648267
ETS1	0.0293678445975535	0.0348922778204982	0.0408595542424473	0.0361863795209248	0.0414337282487321	0.0468524086288611
ARNTL	0.0150334416015546	0.0354239880604512	0.0548869206691081	0.0735990322920068	0.0887200807578601	0.104925137673008
ESRRA	0.0293900356025288	0.0357658039390815	0.04283945687765	0.0224496407253437	0.0279849973518129	0.0332747639785781
BHLHE40	0.0214979482015958	0.0365705479320736	0.0520470701649593	0.0196130120534008	0.0320880258219364	0.043950034567056
SREBF1	0.0224045044037079	0.0366105257486049	0.0507088326768054	0.0402066507487205	0.0510250347039906	0.0621947753832548
MEIS1	0.0274773296535804	0.0366974780845061	0.0469463137316984	-0.0246910190391913	-0.0158966350375711	-0.00762046598782848
GATA2	0.0183996168147211	0.0370235532656139	0.0543364899148749	-0.173427229441258	-0.156207571986947	-0.138391570047795
STAT6	0.0312256410624009	0.0386093430898786	0.0459249038996259	-0.0623396357258446	-0.0561501001370474	-0.0501195930339041
IRF1	0.0315791169472817	0.0389768418882725	0.047117413274984	-0.0813462566868878	-0.073991759108229	-0.0671369867260023
ATF6	0.0114984893160684	0.0391207781840406	0.0665699289838304	0.0251525617626196	0.045673279083382	0.0654380883878632
RUNX1	0.0280641522137274	0.039925016190546	0.0514931811796871	0.0175269635650927	0.028079652351232	0.0378777347810271
FOXP1	0.0338132879892977	0.0404410997161532	0.0467566524617142	-0.13561985299893	-0.129371190951565	-0.122739904063756
BCL6	0.0344306731442008	0.0407227149144646	0.0468670069639048	-0.095871543321025	-0.0903217559168845	-0.0846848345342693
CEBPB	0.0235126288816212	0.0413466907822698	0.0605256262884458	-0.145902751500686	-0.128969561014696	-0.113315219755825
FOXC2	0.0331870238477967	0.0417292067430143	0.0505600674114057	-0.166211010091037	-0.157815241947521	-0.14972656347127
ATF7	0.0172159231627167	0.0419132017202315	0.06663266703508	-0.0437071260441918	-0.0237628803431993	-0.00474034320164517
IRF7	0.0313849967805243	0.0419746484294485	0.0521147479777464	-0.109170437928244	-0.0990723025680617	-0.0897264545272605
ERF	0.03161385787033	0.0432697090966911	0.0550981752990709	0.0461066094632294	0.0556848725720509	0.0643162119085156
FOXJ2	0.0371707600618353	0.0433045030309683	0.0501229759338387	-0.140568755588242	-0.134171612325747	-0.12807225158126
IRF9	0.0288131751688682	0.043304670833188	0.0580559997706448	-0.0681979352351289	-0.0566483501277682	-0.0446154938371064
SOX4	0.0349619274428235	0.0433865675726745	0.0512592407227996	-0.104809809552295	-0.0970532042820777	-0.0895059686080456
TGIF1	0.0320227036321733	0.0437716853764644	0.0569269901902857	-0.0360068447493377	-0.0251284380985121	-0.0146194118968358
MNT	0.0232954206959487	0.0438690521340501	0.0652277832697679	0.0544545132043289	0.0692098653946109	0.0846886066667456
ZFP422	0.0333841128146699	0.0454916334020039	0.057688873397472	-0.150047760174578	-0.137922581139159	-0.126858975798223
ELK3	0.0329775333133393	0.0460803869179081	0.0596647479866049	0.0640886921408009	0.0733839668416928	0.0824058304387588
SF1	0.0350067090342388	0.0468834948878721	0.0594528343625605	-0.00227026548286222	0.00925472516392918	0.019595856551468
GATA6	0.0285081736336786	0.0469316104458057	0.0642637685853596	-0.143596798013558	-0.127766132708473	-0.109876551075391
TBX2	0.0387212336060251	0.048272223347274	0.0578770828034747	-0.0244428537186285	-0.0158854195179113	-0.00764666928374275
MAFG	0.0358586089556929	0.0483668810219292	0.0616934039083607	0.00311843804348981	0.0136132646336944	0.0238754367754339
SMAD7	0.033240376325138	0.0485932190479782	0.0641055241351045	-0.119405392637336	-0.104635853572652	-0.0903173875270278
MAFK	0.0424689437160372	0.0498036365889172	0.0570913820877869	-0.0437821503583407	-0.0372942332527062	-0.0299837033235929
ZBTB38	0.0369390499903676	0.0515321251222691	0.066410861249142	-0.037739015367742	-0.024951582879768	-0.0122111318855107
NFIL3	0.0325693314505762	0.0517514187299109	0.0705968348328789	-0.155483554214294	-0.137654655314123	-0.120419916914284
CEBPD	0.0203931294559576	0.053003222178373	0.0867398370150061	-0.117702591446886	-0.0882755798553636	-0.0589273733572264
NR1D1	0.0350653167307009	0.0543343749939082	0.0722525371000935	-0.0713579229006046	-0.056467282624363	-0.0425229566212723
CREB3	0.0385829310936124	0.0545064033917917	0.0707003881548352	0.00442238185179383	0.0173874815789307	0.0306419063996654
PRRX2	0.0386255584651709	0.0545114933544571	0.0695664213598978	-0.189603877740321	-0.175483833113248	-0.161004714680237
OSR1	0.0405521830701364	0.0545916945570858	0.0681052103753964	-0.0500762369838756	-0.037380769021844	-0.0250581663254525
ATF4	0.040992944778625	0.0549268190918827	0.0677989481064071	0.0131941415816019	0.0242769296569202	0.0351982803192953
SOX9	0.0488821304532284	0.0556611743541888	0.0619584606998364	-0.12458497820603	-0.118794740444142	-0.112699135644004
ETV4	0.044682629333892	0.0589100439884256	0.073779178211722	0.0668125560600501	0.0777836310649476	0.0877950661020937
SOX12	0.0505801875233648	0.0592601406258013	0.0679319045108484	-0.122947802123299	-0.115094800605618	-0.106311857526699
PBX1	0.0459663618329044	0.0595955885697218	0.0732589347455513	-0.155472676062997	-0.143518866446758	-0.130776614769466
MEF2D	0.0445773484209635	0.0606608831057371	0.0757960398852673	-0.229343774954638	-0.21535586523184	-0.200425545595094
HEY2	0.0401105758117852	0.0612114539225144	0.0812239955208917	0.0913611084790836	0.106809065664948	0.12225081600133
PRRX1	0.0520110599336322	0.0654872649514914	0.0813075045333847	-0.218726771308086	-0.203205615203948	-0.187610699312858
HNF1B	0.052493968330558	0.0670209522587934	0.0807729787836828	-0.196582091113726	-0.181631075992469	-0.168052168785375
HOXA2	0.049428216083899	0.0688276985106628	0.0898393730656479	-0.159222842688854	-0.141503352460727	-0.124370066297536
MYC	0.0735432143824774	0.0872285727334257	0.100319101754976	-0.00844202932546181	0.00358301853108349	0.0155901870738377
JUND	0.0840018340775844	0.0911495633620429	0.0976457236401471	-0.00343962476655818	0.00224077705605425	0.00842362071039534
NFE2L2	0.0917909793466078	0.105120327950231	0.118075650606363	0.0251924297428545	0.0364500084559792	0.0476047040829868
JUN	0.125851548080538	0.134853417954931	0.144117665119666	0.00490654750282111	0.0130543465057388	0.0214405594402496
CAP1	0.143277134736615	0.159557827304453	0.177282566247584	-0.0604177964751511	-0.045692234189098	-0.0309946041767646
FOSL2	0.156810280686204	0.168573218352605	0.179956837957901	0.0226891733034048	0.0329492270778002	0.0435513480960096
JUNB	0.169539097157042	0.18207195640904	0.194769536259986	0.0317074689746158	0.0424680268056213	0.0533178620233302
FOSL1	0.169829545925983	0.182172870225274	0.195032745759889	0.054132534277248	0.0657353720718522	0.0767271912563813
